69	11
36	14
76	46
94	7
69	33
11	46
15	31
36	33
44	14
85	36
10	42
43	22
93	32
39	5
60	15
61	39
89	15
93	28
81	41
79	43
11	44
28	47
82	3
57	30
45	43
52	24
40	20
14	24
29	47
40	48
79	22
55	42
17	28
44	48
39	20
5	48
64	45
50	7
41	16
39	48
7	45
61	2
94	29
54	18
16	30
80	35
94	12
40	14
91	4
39	38
73	2
58	39
3	28
47	35
25	21
18	37
91	22
63	48
37	47
10	11
31	3
66	29
13	1
51	8
20	17
11	29
89	38
70	20
90	19
82	34
48	21
54	34
75	33
34	4
20	23
49	17
81	31
63	20
5	22
81	11
40	22
66	39
77	10
51	17
50	9
52	37
23	14
88	47
8	5
84	12
81	37
97	32
81	12
93	46
76	45
94	26
21	44
21	31
78	39
26	42
54	6
7	38
17	21
42	37
45	22
94	38
30	49
45	12
30	28
42	45
40	38
5	2
45	6
8	11
43	31
72	21
57	21
28	20
37	44
20	24
43	9
51	28
80	22
2	24
82	45
99	44
82	13
23	7
59	8
52	40
96	13
85	22
49	27
23	35
64	46
44	22
34	40
68	32
92	12
77	28
80	34
66	35
12	19
9	15
82	48
64	9
77	41
61	41
65	40
5	32
14	6
14	37
74	4
29	46
23	25
17	7
3	7
98	6
47	29
49	40
7	48
21	40
50	3
44	24
42	9
48	45
56	12
87	31
28	13
91	24
49	25
52	15
46	31
74	21
43	34
52	20
91	46
68	43
78	46
42	47
51	34
29	38
58	28
58	34
12	4
40	32
97	21
97	39
9	28
16	33
20	30
15	22
64	37
25	31
3	19
51	36
55	44
84	1
80	7
16	8
10	33
96	41
52	14
91	43
41	23
76	10
66	23
94	48
1	44
25	19
52	48
42	2
27	20
99	27
57	34
24	22
4	11
21	8
3	48
62	5
81	39
98	21
36	21
2	14
60	6
74	33
59	9
25	12
51	19
72	15
47	20
47	41
34	27
46	21
8	33
90	13
20	3
67	46
13	28
20	38
14	7
52	11
8	24
70	36
26	8
78	40
71	30
72	1
72	4
33	21
43	37
87	18
50	15
94	40
93	21
3	8
72	23
71	4
89	42
2	27
41	27
40	18
45	14
69	6
62	45
9	21
51	26
86	7
89	14
79	20
97	14
7	37
43	44
15	13
54	42
70	35
8	45
