0	69
0	59
1	66
1	98
1	29
3	18
4	42
7	5
7	31
7	36
8	12
9	44
9	99
10	55
10	31
11	97
12	53
13	39
14	86
17	70
18	66
18	45
19	10
20	75
22	22
23	85
23	7
24	26
25	12
26	83
26	86
26	98
27	1
27	69
28	3
28	18
29	15
31	93
32	48
32	39
33	84
35	88
36	16
36	98
36	29
37	37
39	95
40	77
41	71
41	54
41	1
44	41
45	27
45	43
46	2
47	9
47	74
50	9
50	30
52	30
53	94
53	86
53	31
54	61
61	22
61	71
62	78
62	42
64	62
64	61
64	55
64	58
67	69
67	23
67	80
68	26
68	8
73	26
74	13
74	29
74	90
75	71
76	25
76	24
76	47
77	90
78	96
78	18
79	32
82	28
83	10
84	91
84	21
85	57
85	84
86	26
87	60
87	3
88	30
92	12
