88	64
31	40
59	85
39	58
95	54
45	60
44	1
2	82
23	52
79	17
41	71
98	24
71	31
30	18
20	44
68	17
36	82
15	87
87	36
37	68
75	14
8	16
10	51
7	51
25	75
90	30
86	17
73	23
53	12
77	86
82	32
72	24
57	88
30	81
84	61
5	34
65	49
53	39
79	56
95	22
47	33
51	5
18	95
67	77
11	62
6	91
49	8
69	70
17	66
39	48
99	78
91	48
87	51
83	52
18	9
80	39
34	22
44	78
70	99
80	97
72	86
28	38
34	5
60	13
4	26
27	54
93	68
78	5
87	71
78	1
33	28
99	47
28	43
54	9
80	51
34	13
36	71
4	94
43	78
7	96
12	29
64	6
2	46
5	60
40	46
78	61
47	80
27	61
80	45
14	9
87	77
91	37
54	10
76	98
24	61
66	71
95	99
2	54
61	89
7	97
84	19
29	16
18	19
87	55
42	56
69	59
5	31
2	60
25	13
41	65
14	89
91	45
13	69
96	7
73	18
6	16
25	29
93	24
81	24
62	43
77	6
10	12
26	73
80	59
5	99
4	39
33	3
52	40
6	18
71	75
74	47
32	44
30	19
92	10
31	91
61	73
69	28
62	44
20	65
56	74
28	6
74	74
71	47
5	81
27	73
56	24
79	84
56	97
8	24
30	89
73	79
24	9
78	86
91	12
19	89
63	90
73	13
65	76
44	93
47	42
93	31
9	87
98	9
9	70
23	84
14	2
17	21
80	4
34	10
90	49
45	27
4	68
22	87
38	37
64	17
9	97
84	84
7	12
33	86
51	27
75	57
77	14
63	14
58	38
9	13
69	63
1	72
98	6
57	14
92	35
39	50
36	10
11	61
44	19
8	39
53	22
85	83
61	98
51	85
62	49
20	30
20	9
33	25
58	73
40	39
45	47
42	13
98	76
67	1
52	18
5	3
51	19
85	3
43	32
58	95
12	50
40	50
83	82
79	1
66	92
6	79
78	58
97	38
86	18
40	42
9	98
26	71
32	8
72	53
64	98
46	70
14	38
80	93
91	94
55	33
97	15
23	54
39	7
34	58
15	53
57	78
4	77
39	83
59	92
47	78
61	4
82	61
21	47
87	90
92	57
60	87
92	93
65	92
39	30
17	76
13	95
21	72
7	87
15	10
72	71
20	17
25	61
76	54
39	65
87	84
79	22
29	56
69	65
68	23
88	13
39	36
22	92
6	98
8	9
89	60
81	33
76	71
94	82
25	39
18	73
50	29
99	63
58	24
15	29
83	35
26	42
81	11
46	7
37	27
97	49
16	7
